Activity ID,Data Element ID,Data Element Label,Description and Definition,Multiple Choice Type (if applicable),Data Type,Input Options,Calculation,Quantity Sub-Type,Validation Condition,Editable,Required,Skip Logic,Linkages to Aggregate Indicators,Notes,ICD-11 Code,ICD-11 URI,ICD-11 Comments / Considerations,ICD-11 Relationship,ICD-10 Code,ICD-10 Comments / Considerations,ICD-10 Relationship,ICD-9 Code,ICD-9 Comments / Considerations,ICD-9 Relationship,LOINC version 2.68 Code,LOINC version 2.68 Comments / Considerations,LOINC version 2.68 Relationship,ICHI (Beta 3) Code,ICHI URI,ICHI Comments / Considerations,ICHI Relationship,ICF Code,ICF Comments / Considerations,ICF Relationship,SNOMED GPS Code,SNOMED GPS Code Comments Considerations,SNOMED GPS Relationship,SNOMED CT International Version Code,SNOMED CT International Version Comments / Considerations,SNOMED CT Relationship,HL7 FHIR R4 - Resource,HL7 FHIR R4 - Values,HL7 FHIR R4 Code,HL7 FHIR R4 Relationship,ICD-11 Description,WHO ATC Code,WHO ATC Name,Origin Tab
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE17,Rubella Vaccines,Vaccine terminology codes for Rubella,,Codes,,,,,Yes,,,"IMMZ.IND.11, IMMZ.IND.39",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,440075005,Live measles + rubella vaccine injection dose form (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BD53,"measles, combinations with rubella, live attenuated",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE17,Rubella Vaccines,Vaccine terminology codes for Rubella,,Codes,,,,,Yes,,,"IMMZ.IND.11, IMMZ.IND.39",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,419550004,Measles + mumps + rubella + varicella vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BD54,"measles, combinations with mumps, rubella and varicella, live attenuated",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE17,Rubella Vaccines,Vaccine terminology codes for Rubella,,Codes,,,,,Yes,,,"IMMZ.IND.11, IMMZ.IND.39",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,30940-1,Measles virus+Mumps virus+Rubella virus dose count in combination vaccine,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,61153008,"Measles, mumps and rubella vaccine (product)",,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BD52,"measles, combinations with mumps and rubella, live attenuated",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE17,Rubella Vaccines,Vaccine terminology codes for Rubella,,Codes,,,,,Yes,,,"IMMZ.IND.11, IMMZ.IND.39",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,347649008,Measles/mumps/rubella vaccine powder and solvent for injection solution vial (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE17,Rubella Vaccines,Vaccine terminology codes for Rubella,,Codes,,,,,Yes,,,"IMMZ.IND.11, IMMZ.IND.39",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,419771007,Measles/mumps/rubella/varicella vaccine powder and solvent for injection solution vial (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE17,Rubella Vaccines,Vaccine terminology codes for Rubella,,Codes,,,,,Yes,,,"IMMZ.IND.11, IMMZ.IND.39",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,347653005,Rubella live vaccine powder and solvent for injection solution vial (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE17,Rubella Vaccines,Vaccine terminology codes for Rubella,,Codes,,,,,Yes,,,"IMMZ.IND.11, IMMZ.IND.39",,XM7PP1,http://id.who.int/icd/entity/164703371,Extension codes are not used in primary tabulation.,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,836388000,Vaccine product containing Rubella virus antigen (medicinal product) Rubella virus antigen-containing vaccine product,,386013003,Rubella vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,Rubella vaccine,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE17,Rubella Vaccines,Vaccine terminology codes for Rubella,,Codes,,,,,Yes,,,"IMMZ.IND.11, IMMZ.IND.39",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BJ,Rubella vaccines,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE17,Rubella Vaccines,Vaccine terminology codes for Rubella,,Codes,,,,,Yes,,,"IMMZ.IND.11, IMMZ.IND.39",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07CA03,diphtheria-rubella-tetanus,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE17,Rubella Vaccines,Vaccine terminology codes for Rubella,,Codes,,,,,Yes,,,"IMMZ.IND.11, IMMZ.IND.39",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BJ51,"rubella, combinations with mumps, live attenuated",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE17,Rubella Vaccines,Vaccine terminology codes for Rubella,,Codes,,,,,Yes,,,"IMMZ.IND.11, IMMZ.IND.39",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BJ01,"rubella, live attenuated",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE18,Seasonal Influenza Vaccines,Vaccine terminology codes for Seasonal influenza,,Codes,,,,,Yes,,,IMMZ.IND.19,,XM1LR5,http://id.who.int/icd/entity/751881015,Extension codes are not used in primary tabulation.,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,836377006,Vaccine product containing Influenza virus antigen (medicinal product),,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,Influenza vaccines,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE18,Seasonal Influenza Vaccines,Vaccine terminology codes for Seasonal influenza,,Codes,,,,,Yes,,,IMMZ.IND.19,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,1181000221105,Vaccine product containing only Influenza virus antigen (medicinal product)Influenza virus antigen only vaccine product,,346525009,Inactivated Influenza surface antigen sub-unit vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE18,Seasonal Influenza Vaccines,Vaccine terminology codes for Seasonal influenza,,Codes,,,,,Yes,,,IMMZ.IND.19,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,348047008,Inactivated Influenza surface antigen sub-unit vaccine prefilled syringe (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE18,Seasonal Influenza Vaccines,Vaccine terminology codes for Seasonal influenza,,Codes,,,,,Yes,,,IMMZ.IND.19,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,419562000,Inactivated Influenza surface antigen virosome vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE18,Seasonal Influenza Vaccines,Vaccine terminology codes for Seasonal influenza,,Codes,,,,,Yes,,,IMMZ.IND.19,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,418707004,Inactivated Influenza surface antigen virosome vaccine prefilled syringe (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE18,Seasonal Influenza Vaccines,Vaccine terminology codes for Seasonal influenza,,Codes,,,,,Yes,,,IMMZ.IND.19,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,408752008,Inactivated influenza split virion vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BB02,"influenza, inactivated, split virus or surface antigen",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE18,Seasonal Influenza Vaccines,Vaccine terminology codes for Seasonal influenza,,Codes,,,,,Yes,,,IMMZ.IND.19,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,348046004,Influenza (split virion) vaccine injection suspension 0.5mL prefilled syringe (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE18,Seasonal Influenza Vaccines,Vaccine terminology codes for Seasonal influenza,,Codes,,,,,Yes,,,IMMZ.IND.19,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,400788004,Influenza virus vaccine triv 45mcg/0.5mL injection solution 0.5mL syringe (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE18,Seasonal Influenza Vaccines,Vaccine terminology codes for Seasonal influenza,,Codes,,,,,Yes,,,IMMZ.IND.19,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,400564003,Influenza virus vaccine trivalent 45mcg/0.5mL injection solution 5mL vial (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE18,Seasonal Influenza Vaccines,Vaccine terminology codes for Seasonal influenza,,Codes,,,,,Yes,,,IMMZ.IND.19,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,409269001,Intranasal influenza live virus vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE18,Seasonal Influenza Vaccines,Vaccine terminology codes for Seasonal influenza,,Codes,,,,,Yes,,,IMMZ.IND.19,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,430410002,Product containing Influenza virus vaccine in nasal dose form (medicinal product form),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE18,Seasonal Influenza Vaccines,Vaccine terminology codes for Seasonal influenza,,Codes,,,,,Yes,,,IMMZ.IND.19,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,871768005,Vaccine product containing only Influenza virus antigen in nasal dose form (medicinal product form)Influenza virus antigen only vaccine product in nasal dose form,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BB,Influenza vaccines,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE18,Seasonal Influenza Vaccines,Vaccine terminology codes for Seasonal influenza,,Codes,,,,,Yes,,,IMMZ.IND.19,,XM8857,http://id.who.int/icd/entity/1901715257,Extension codes are not used in primary tabulation.,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,"Influenza vaccine, inactivated, whole virus",J07BB01,"influenza, inactivated, whole virus",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE18,Seasonal Influenza Vaccines,Vaccine terminology codes for Seasonal influenza,,Codes,,,,,Yes,,,IMMZ.IND.19,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BB03,"influenza, live attenuated",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE18,Seasonal Influenza Vaccines,Vaccine terminology codes for Seasonal influenza,,Codes,,,,,Yes,,,IMMZ.IND.19,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BB04,"influenza, virus like particles",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE19,Tetanus Vaccines,Vaccine terminology codes for Tetanus,,Codes,,,,,Yes,,,"IMMZ.IND.15, IMMZ.IND.43",,XM5L44,http://id.who.int/icd/entity/1063237844,Extension codes are not used in primary tabulation.,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,333549004,Adsorbed diphtheria+tetanus vaccine injection suspension 0.5mL prefilled syringe (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,Tetanus vaccines,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE19,Tetanus Vaccines,Vaccine terminology codes for Tetanus,,Codes,,,,,Yes,,,"IMMZ.IND.15, IMMZ.IND.43",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,347664008,Adsorbed tetanus vaccine injection solution ampule (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE19,Tetanus Vaccines,Vaccine terminology codes for Tetanus,,Codes,,,,,Yes,,,"IMMZ.IND.15, IMMZ.IND.43",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,333641007,Adsorbed tetanus vaccine injection solution prefilled syringe (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE19,Tetanus Vaccines,Vaccine terminology codes for Tetanus,,Codes,,,,,Yes,,,"IMMZ.IND.15, IMMZ.IND.43",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,449240007,Diphtheria + acellular pertussis adsorbed + inactivated polio + tetanus toxoids vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE19,Tetanus Vaccines,Vaccine terminology codes for Tetanus,,Codes,,,,,Yes,,,"IMMZ.IND.15, IMMZ.IND.43",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,412373007,Diphtheria + pertussis + tetanus + Haemophilus influenzae type b vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE19,Tetanus Vaccines,Vaccine terminology codes for Tetanus,,Codes,,,,,Yes,,,"IMMZ.IND.15, IMMZ.IND.43",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,421245007,Diphtheria + pertussis + tetanus vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE19,Tetanus Vaccines,Vaccine terminology codes for Tetanus,,Codes,,,,,Yes,,,"IMMZ.IND.15, IMMZ.IND.43",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,427806004,Diphtheria + tetanus + haemophilus influenzae type b vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE19,Tetanus Vaccines,Vaccine terminology codes for Tetanus,,Codes,,,,,Yes,,,"IMMZ.IND.15, IMMZ.IND.43",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,414002009,Diphtheria + tetanus + inactivated poliovirus vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE19,Tetanus Vaccines,Vaccine terminology codes for Tetanus,,Codes,,,,,Yes,,,"IMMZ.IND.15, IMMZ.IND.43",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,414003004,Diphtheria + tetanus + pertussis + inactivated poliovirus vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE19,Tetanus Vaccines,Vaccine terminology codes for Tetanus,,Codes,,,,,Yes,,,"IMMZ.IND.15, IMMZ.IND.43",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,414004005,Diphtheria + tetanus + pertussis + poliomyelitis + haemophilus influenzae b vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE19,Tetanus Vaccines,Vaccine terminology codes for Tetanus,,Codes,,,,,Yes,,,"IMMZ.IND.15, IMMZ.IND.43",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,426842004,Diphtheria + tetanus + pertussis + poliomyelitis + recombinant hepatitis B virus + recombinant haemophilus influenzae type B vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE19,Tetanus Vaccines,Vaccine terminology codes for Tetanus,,Codes,,,,,Yes,,,"IMMZ.IND.15, IMMZ.IND.43",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,427542001,Diphtheria + tetanus + pertussis + poliomyelitis + recombinant hepatitis B virus vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE19,Tetanus Vaccines,Vaccine terminology codes for Tetanus,,Codes,,,,,Yes,,,"IMMZ.IND.15, IMMZ.IND.43",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,414005006,Diphtheria + tetanus + pertussis + poliomyelitis vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE19,Tetanus Vaccines,Vaccine terminology codes for Tetanus,,Codes,,,,,Yes,,,"IMMZ.IND.15, IMMZ.IND.43",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,426081003,Diphtheria + tetanus + pertussis + recombinant hepatitis B virus vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE19,Tetanus Vaccines,Vaccine terminology codes for Tetanus,,Codes,,,,,Yes,,,"IMMZ.IND.15, IMMZ.IND.43",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,414006007,Diphtheria + tetanus + poliomyelitis vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE19,Tetanus Vaccines,Vaccine terminology codes for Tetanus,,Codes,,,,,Yes,,,"IMMZ.IND.15, IMMZ.IND.43",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,350327004,Diphtheria + tetanus vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE19,Tetanus Vaccines,Vaccine terminology codes for Tetanus,,Codes,,,,,Yes,,,"IMMZ.IND.15, IMMZ.IND.43",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,426361005,Diphtheria toxoid 30 iu/tetanus toxoid 40 iu/acellular pertussis 25micrograms/recombinant hepatitis B virus surface antigen 10micrograms/inactivated poliomyelitis injection solution 0.5mL prefilled syringe (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
